fips,svg
22069,"M 324.10398,250.576 L 326.81998,250.5 L 327.21298,251.226 L 327.44398,252.059 L 327.51598,253.015 L 327.49698,253.173 L 327.29898,254.078 L 326.62298,256.183 L 329.48898,258.558 L 326.68098,260.862 L 323.87798,260.718 L 323.80598,258.473 L 322.70198,258.505 L 322.61998,256.233 L 321.49298,256.26 L 321.45698,254.574 L 322.36698,253.425 L 322.42698,253.852 L 322.74598,253.965 L 323.18398,253.965 L 323.63898,253.759 L 324.65298,252.559 L 324.71198,251.811 L 324.70698,251.753 L 324.49898,251.103 L 324.23398,250.703 L 324.10398,250.576"
22071,"M 359.19498,274.239 L 360.43098,274.708 L 361.47598,274.081 L 361.73398,273.981 L 363.90898,274.153 L 364.52798,274.355 L 364.59998,274.4 L 364.12098,274.969 L 362.62598,275.929 L 362.12498,276.528 L 361.62498,278.255 L 360.51598,277.98 L 359.91598,277.372 L 359.16298,276.348 L 359.19498,274.239"
22073,"M 336.01598,242.721 L 337.77798,245.457 L 336.58798,248.468 L 333.57198,248.584 L 333.55398,248.026 L 332.44598,247.003 L 332.38298,246.845 L 332.34198,245.807 L 332.30598,244.682 L 333.96998,244.628 L 334.26698,244.537 L 334.37898,244.46 L 335.79398,243.076 L 336.01598,242.721"
22075,"M 360.51598,277.98 L 361.62498,278.255 L 361.78198,278.584 L 362.02898,279.013 L 362.16998,279.179 L 362.24198,279.192 L 362.36398,279.147 L 364.01798,279.588 L 364.18498,279.765 L 364.97798,280.48 L 366.20398,280.774 L 366.51498,281.022 L 366.58298,281.121 L 366.37498,280.995 L 366.01998,280.802 L 365.04998,280.757 L 364.82898,280.887 L 364.47298,281.188 L 364.38298,281.499 L 364.27098,282.563 L 364.27898,282.626 L 364.36098,282.717 L 364.68998,282.933 L 366.77998,284.037 L 367.11398,284.015 L 367.98498,283.974 L 370.31498,284.646 L 370.91398,285.39 L 371.21598,285.808 L 371.67098,286.07 L 372.09098,285.881 L 372.17098,285.912 L 372.25298,285.989 L 372.44598,286.382 L 372.44598,286.394 L 372.40998,286.57 L 372.40998,286.579 L 372.20698,287.044 L 371.85598,287.841 L 370.83298,288.45 L 370.11098,288.004 L 368.55698,288.044 L 367.31298,286.606 L 367.27998,286.574 L 367.12798,286.427 L 367.10998,286.408 L 366.98698,286.322 L 366.98698,286.318 L 366.93898,286.3 L 366.60498,286.178 L 366.36098,286.088 L 364.79798,285.515 L 364.54998,285.447 L 364.50498,285.435 L 364.26598,285.385 L 364.17198,285.362 L 364.15298,285.362 L 364.10398,285.357 L 363.86798,285.34 L 363.53598,285.312 L 362.90098,284.74 L 363.04398,284.492 L 363.08498,284.402 L 363.08498,284.281 L 363.07098,284.213 L 362.82298,283.348 L 362.81598,283.311 L 362.74198,283.275 L 362.63898,283.222 L 362.49398,283.253 L 362.34598,283.316 L 362.06298,283.492 L 361.88598,283.708 L 361.74598,283.907 L 361.48898,283.933 L 361.38098,283.861 L 361.23298,283.704 L 361.06998,281.775 L 361.01198,281.531 L 360.56498,280.769 L 360.34498,280.513 L 359.98498,280.03 L 359.86098,279.611 L 360.06998,278.746 L 360.51598,277.98"
22077,"M 340.40198,264.571 L 341.42898,264.837 L 341.39698,265.148 L 341.46898,266.572 L 341.49498,266.644 L 341.57698,266.721 L 341.64398,266.757 L 342.86098,267.392 L 344.64198,267.726 L 344.69998,267.753 L 344.91098,268.068 L 345.25498,268.988 L 343.64598,271.151 L 341.24798,271.26 L 340.63498,271.283 L 340.75698,270.809 L 340.81098,269.056 L 340.76098,268.623 L 340.36798,267.654 L 339.94198,266.929 L 339.77798,266.802 L 340.40198,264.571"
22079,"M 329.48898,258.558 L 329.65198,259.373 L 329.80098,260.037 L 329.87598,260.091 L 330.20998,260.208 L 330.50298,260.168 L 334.07698,259.154 L 335.24398,258.855 L 336.51998,260.646 L 335.82098,261.092 L 335.13698,260.771 L 335.09098,260.763 L 335.01498,260.794 L 334.91498,260.88 L 335.00598,263.341 L 335.27198,265.14 L 334.57698,265.509 L 333.45998,265.086 L 331.10698,266.527 L 328.61498,266.693 L 328.51598,265.131 L 328.38998,262.024 L 327.81298,261.204 L 327.62298,261.114 L 326.68098,260.862 L 329.48898,258.558"
22081,"M 320.99298,249.517 L 321.46198,249.522 L 324.10398,250.576 L 324.23398,250.703 L 324.49898,251.103 L 324.70698,251.753 L 324.71198,251.811 L 324.65298,252.559 L 323.63898,253.759 L 323.18398,253.965 L 322.74598,253.965 L 322.42698,253.852 L 322.36698,253.425 L 321.38498,252.7 L 321.26798,252.556 L 320.57798,251.482 L 320.15898,250.099 L 319.43498,249.554 L 320.99298,249.517"
22083,"M 342.79798,244.245 L 342.69198,244.821 L 342.56398,246.534 L 340.87898,246.624 L 340.47298,246.862 L 339.52998,247.985 L 339.03998,249.116 L 338.17398,250.027 L 336.58798,248.468 L 337.77798,245.457 L 338.17398,245.097 L 338.93098,244.559 L 339.66098,244.312 L 340.32898,243.977 L 340.43198,243.865 L 340.58098,243.595 L 340.67998,243.289 L 340.66698,243.239 L 341.11698,243.384 L 341.58998,244.294 L 342.79798,244.245"
22085,"M 316.67998,254.701 L 321.45698,254.574 L 321.49298,256.26 L 322.61998,256.233 L 322.70198,258.505 L 323.80598,258.473 L 323.87798,260.718 L 322.17898,260.766 L 320.61098,261.993 L 320.48398,262.394 L 320.42998,263.098 L 320.45698,263.12 L 319.94398,263.255 L 319.82998,262.588 L 319.75398,262.165 L 319.42498,260.731 L 318.41498,259.266 L 317.22998,258.021 L 316.67998,254.701"
22087,"M 362.12498,276.528 L 362.19298,276.812 L 362.30098,277.087 L 362.37298,277.21 L 362.48598,277.285 L 364.07198,278.093 L 364.42898,278.141 L 364.68098,278.111 L 364.94998,277.989 L 365.11298,277.858 L 365.17598,277.655 L 365.30298,276.839 L 365.28798,276.528 L 366.11898,275.604 L 366.50598,275.415 L 366.96998,275.559 L 367.26298,275.799 L 367.02398,275.933 L 366.95098,276.006 L 366.84398,276.109 L 366.85298,276.326 L 366.87098,276.483 L 367.52898,277.2 L 367.65498,277.295 L 368.18698,277.569 L 368.31298,277.638 L 367.56598,278.886 L 367.13298,279.525 L 366.49198,279.768 L 365.99198,279.576 L 364.81998,279.534 L 364.62998,279.594 L 364.67598,279.972 L 364.73898,280.085 L 365.29798,280.391 L 365.56498,280.504 L 365.75298,280.54 L 366.01598,280.522 L 366.56498,280.995 L 366.59598,281.071 L 366.58298,281.121 L 366.51498,281.022 L 366.20398,280.774 L 364.97798,280.48 L 364.18498,279.765 L 364.01798,279.588 L 362.36398,279.147 L 362.24198,279.192 L 362.16998,279.179 L 362.02898,279.013 L 361.78198,278.584 L 361.62498,278.255 L 362.12498,276.528"
22089,"M 354.57498,278.382 L 354.40898,277.204 L 354.39098,276.966 L 354.50798,276.776 L 354.98598,276.578 L 355.90898,275.875 L 357.24798,273.855 L 357.39698,276.74 L 357.42398,277.186 L 357.53698,277.827 L 357.60898,278.038 L 357.95098,278.566 L 358.63198,278.972 L 358.44698,280.044 L 358.38398,280.242 L 358.22198,280.742 L 356.97398,280.806 L 356.83798,280.774 L 356.73498,280.635 L 356.73098,280.557 L 356.15298,279.813 L 355.17998,278.777 L 354.57498,278.382"
